locus_tag	ftype	length_bp	gene	EC_number	COG	product
FJOBDCKL_00001	CDS	501	lrp_1		COG1522	Leucine-responsive regulatory protein
FJOBDCKL_00002	CDS	762	moeB	2.7.7.80	COG0476	Molybdopterin-synthase adenylyltransferase
FJOBDCKL_00003	CDS	1287	puuB_1	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
FJOBDCKL_00004	CDS	1110	potA	3.6.3.31	COG3842	Spermidine/putrescine import ATP-binding protein PotA
FJOBDCKL_00005	CDS	924	potB_1		COG1176	Spermidine/putrescine transport system permease protein PotB
FJOBDCKL_00006	CDS	798	ydcV_1			Inner membrane ABC transporter permease protein YdcV
FJOBDCKL_00007	CDS	1065	spuE		COG0687	Spermidine-binding periplasmic protein SpuE
FJOBDCKL_00008	CDS	1368	puuA_1	6.3.1.11	COG0174	Gamma-glutamylputrescine synthetase PuuA
FJOBDCKL_00009	CDS	1080	potF		COG0687	Putrescine-binding periplasmic protein
FJOBDCKL_00010	CDS	1293	puuB_2	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
FJOBDCKL_00011	CDS	879				hypothetical protein
FJOBDCKL_00012	CDS	798				hypothetical protein
FJOBDCKL_00013	CDS	597				hypothetical protein
FJOBDCKL_00014	CDS	1323	dctM_1		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
FJOBDCKL_00015	CDS	1053			COG4663	Monocarboxylate 2-oxoacid-binding periplasmic protein
FJOBDCKL_00016	CDS	1371	ipuC	6.3.2.-		Glutamate--isopropylamine ligase
FJOBDCKL_00017	CDS	1383	gabD1	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)] 1
FJOBDCKL_00018	CDS	1146	mdh_1	1.1.1.244		NAD-dependent methanol dehydrogenase
FJOBDCKL_00019	CDS	1740	fhs	6.3.4.3	COG2759	Formate--tetrahydrofolate ligase
FJOBDCKL_00020	CDS	1017	cdhR_1		COG4977	HTH-type transcriptional regulator CdhR
FJOBDCKL_00021	CDS	2709	dmg	1.5.3.10		Dimethylglycine oxidase
FJOBDCKL_00022	CDS	1206	dmdA	2.1.1.269		Dimethylsulfonioproprionate demethylase DmdA
FJOBDCKL_00023	CDS	918				hypothetical protein
FJOBDCKL_00024	CDS	696				hypothetical protein
FJOBDCKL_00025	CDS	1377	puuA_2	6.3.1.11	COG0174	Gamma-glutamylputrescine synthetase PuuA
FJOBDCKL_00026	CDS	780	puuD	3.5.1.94	COG2071	Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD
FJOBDCKL_00027	CDS	1407	spuC_1	2.6.1.113	COG0161	Putrescine--pyruvate aminotransferase
FJOBDCKL_00028	CDS	1533	puuC	1.2.1.5	COG1012	NADP/NAD-dependent aldehyde dehydrogenase PuuC
FJOBDCKL_00029	CDS	171				hypothetical protein
FJOBDCKL_00030	CDS	552	puuR_1			HTH-type transcriptional regulator PuuR
FJOBDCKL_00031	CDS	1470	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
FJOBDCKL_00032	CDS	1461	gatA	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
FJOBDCKL_00033	CDS	288	gatC	6.3.5.-	COG0721	Glutamyl-tRNA(Gln) amidotransferase subunit C
FJOBDCKL_00034	CDS	1038	mreB		COG1077	Rod shape-determining protein MreB
FJOBDCKL_00035	CDS	873	mreC		COG1792	Cell shape-determining protein MreC
FJOBDCKL_00036	CDS	495	mreD		COG2891	Rod shape-determining protein MreD
FJOBDCKL_00037	CDS	597	yhdE		COG0424	Maf-like protein YhdE
FJOBDCKL_00038	CDS	1464	rng	3.1.26.-	COG1530	Ribonuclease G
FJOBDCKL_00039	CDS	3828				hypothetical protein
FJOBDCKL_00040	CDS	1455	tldD	3.4.-.-	COG0312	Metalloprotease TldD
FJOBDCKL_00041	CDS	537				hypothetical protein
FJOBDCKL_00042	CDS	1341	pmbA	3.4.-.-	COG0312	Metalloprotease PmbA
FJOBDCKL_00043	CDS	270	ptsO		COG1925	Phosphocarrier protein NPr
FJOBDCKL_00044	CDS	906	rapZ		COG1660	RNase adapter protein RapZ
FJOBDCKL_00045	CDS	468	ptsN		COG1762	Nitrogen regulatory protein
FJOBDCKL_00046	CDS	309	hpf		COG1544	Ribosome hibernation promoting factor
FJOBDCKL_00047	CDS	1413	rpoN		COG1508	RNA polymerase sigma-54 factor
FJOBDCKL_00048	CDS	726	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
